medicine_id,code,name,facility,current_service_id,reference_price,existing_cash_price,classification,risk,proposed_service_code,proposed_service_name,proposed_cash_price,price_evidence,confidence,proposed_action
1,PAR500,"Paracetamol 500mg Tablet",1,67,100.00,,historical_custom_mapping,manual_review,,,,"Existing Service 67 is soft-deleted; active price retained; no invoice usage",manual_review,"Preserve mapping; administrator must decide whether to restore Service 67"
2,AMOX,"amoxicillin 250mg capsule",1,,100.00,,safe_missing_service,conditional_explicit_price_approval,MED-AMOX,"amoxicillin 250mg capsule",100.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
3,DOX,Doxyclline,1,,100.00,,safe_missing_service,conditional_explicit_price_approval,MED-DOX,Doxyclline,100.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
4,X-PEN,"benzyl penicillin 5iu",1,,5000.00,,safe_missing_service,conditional_explicit_price_approval,MED-X-PEN,"benzyl penicillin 5iu",5000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
5,ARTE,"artemether 80mg inj.",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-ARTE,"artemether 80mg inj.",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
6,GENTA,"gentamycin inj 40mg/2ml",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-GENTA,"gentamycin inj 40mg/2ml",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
7,CEFT,"ceftriaxone inj 1gm",1,,5000.00,,safe_missing_service,conditional_explicit_price_approval,MED-CEFT,"ceftriaxone inj 1gm",5000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
8,METO,"metoclopramide inj 10mg",1,,3000.00,,ambiguous_configuration,manual_review,MED-METO,"metoclopramide inj 10mg",,"Duplicate medicine name would violate facility/service name uniqueness",manual_review,"Resolve duplicate catalog identity and price manually"
9,DICLO,"diclofenac inj 25mg/3ml",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-DICLO,"diclofenac inj 25mg/3ml",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
10,PROME,"promethazine inj 25mg/ml",1,,3000.00,,safe_missing_service,conditional_explicit_price_approval,MED-PROME,"promethazine inj 25mg/ml",3000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
11,ADREN,"adrenaline inj 1mg/1ml",1,,5000.00,,safe_missing_service,conditional_explicit_price_approval,MED-ADREN,"adrenaline inj 1mg/1ml",5000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
12,OXY,"oxytocin 10mg/ml inj",1,,5000.00,,safe_missing_service,conditional_explicit_price_approval,MED-OXY,"oxytocin 10mg/ml inj",5000.00,"Legacy UI called this Default price and legacy pricing code used it as patient unit price",semantics_supported_value_requires_admin_confirmation,"After backup and price approval: create service, link medicine, create cash price"
